Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
2679.26,150.74,-4881.62,-2655.12,-1785.55,-1587.06,-1822.83,3073.28,15072.14,-5528.57,-4514.16,12537.72,53144.76,6874.23,-578.02,2005.22
-11375.52,-13512.43,-10999.47,-13127.54,-8135.95,-4233.33,-6908.03,-10033.88,3484.99,614.76,580.7,4309.51,3825.37,324.01,5183.37,-980.62
-1237.84,-1164.62,-11584.19,-527.05,1146.91,244.89,-1306.5,-453.29,-1774.82,336.62,-7853.51,3013.73,-56970.66,-3414.45,6527.16,-4575.58
16171.31,16358.26,-9432.53,12686.58,10061.77,3788.35,4523.81,16464.47,5468.22,-3744.36,-9678.48,6399.48,-17167.21,1244.81,677.53,-885.67
5631.3,2764.82,-4952.7,-787.76,-311.94,-1143.69,-992.95,6380.17,15349.21,-5472.78,-4775.94,12712.87,51276.6,7017.2,-1041.77,2505.99
-11659.83,-13894.65,-10968.09,-13685.17,-9100.47,-5154.4,-7548.81,-10144.65,5190.34,433.45,1225.23,5698.62,18194.5,1524.57,5297.9,-418.96
-5895.5,-5016.8,-15480.37,-3544.27,-1505.79,-1372.49,-3251.91,-4345.45,-2607.11,-68.4,-6967.04,1724.12,-54690.25,-3960.01,6969.99,-4799.55
14263.72,15138.12,-11823.45,12946.49,9664.0,3854.07,4384.07,14641.11,3725.86,-4491.9,-12090.33,5211.8,-33839.29,-366.12,1519.2,-2392.26
8563.22,5784.99,-6169.08,1193.05,2007.1,79.39,402.06,9426.62,14864.27,-6835.07,-6906.42,12032.12,41603.48,6542.98,-2049.74,2200.48
-10490.12,-12889.09,-9521.84,-13003.89,-9092.15,-5145.01,-7052.6,-9008.74,7348.72,-940.11,466.44,7205.49,28066.37,2755.97,4340.62,-115.33
-7899.37,-8176.18,-11949.78,-7520.65,-3527.11,-1752.02,-4093.05,-6396.0,-2366.24,659.29,-4568.34,1390.99,-48413.88,-3749.46,7545.32,-4147.23
12292.56,13973.24,-9725.42,11838.73,8679.36,3335.86,3779.77,12807.28,884.86,-2032.85,-9744.2,3914.42,-41038.07,-1595.91,2926.56,-3260.76
12204.32,9996.06,-6402.17,4700.84,4868.75,1388.04,1882.64,12612.02,14114.59,-5977.3,-6509.72,10951.46,35237.52,6010.29,-1937.9,2143.35
-7440.18,-9799.45,-7363.74,-10496.83,-7368.83,-4296.9,-5694.6,-6310.17,10006.25,-2042.5,-578.55,9002.3,41507.46,4309.77,2553.73,625.49
-9783.89,-10074.38,-12020.86,-9990.16,-4757.97,-2279.61,-4862.31,-8189.32,-1217.72,1290.41,-2552.93,1874.33,-36619.13,-2726.2,7168.74,-3120.75
10122.12,11807.89,-10143.85,10706.84,7648.05,3296.97,3266.66,10295.12,29.77,-1126.53,-9886.09,3722.37,-50649.23,-2126.99,4097.34,-3715.93
16088.16,15370.94,-9044.14,10635.23,9190.32,3478.56,4139.99,16449.99,14364.03,-4783.18,-4608.57,12405.49,52931.52,6652.68,-188.83,1478.43
-112.65,-3304.48,-5910.78,-5871.89,-4619.3,-3071.4,-3510.74,790.18,3510.21,1494.53,1217.19,4446.03,-1166.76,-60.35,7350.59,-1177.49
-12648.23,-15164.41,-12574.2,-14522.55,-9352.06,-5054.35,-7966.7,-11373.1,-1758.72,536.17,-7869.07,2968.67,-59993.51,-3501.62,7815.69,-4653.63
-1735.39,-1500.96,-12474.69,-466.44,645.07,-60.89,-1431.5,-624.69,4678.04,-3077.84,-9612.77,6149.23,-20585.15,966.13,1218.26,-1244.81
15375.23,15328.02,-8692.24,12027.83,9272.13,3714.59,4872.77,15437.45,14405.34,-5049.26,-3994.88,11959.7,45666.22,6828.37,-928.85,2820.34
4085.0,1166.22,-4132.48,-1996.9,-1058.13,-1343.25,-1164.08,4734.9,4568.88,687.99,1272.98,5436.84,14054.24,1292.56,5315.87,-473.41
