Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
-154.76,675.65,79.93,1125.45,-461.07,-263.93,-113.73,599.21,372.29,345.2,30.31,32.45,-627.1,-480.65,-335.81,-79.13
-113.19,613.15,113.19,1104.27,-398.58,-227.99,-50.43,541.54,575.6,566.21,1640.44,223.43,-141.08,-133.57,505.33,472.34
291.29,335.28,236.57,273.85,-788.03,-1017.63,-760.14,-828.8,329.91,295.85,1044.18,120.97,-67.59,-103.8,291.29,223.96
471.53,635.68,395.09,453.83,-1064.57,-1404.67,-1052.5,-1083.61,784.81,731.71,315.43,375.51,-623.08,-444.98,-264.2,90.66
-195.8,416.01,-28.97,729.83,-436.93,-293.17,-196.87,344.4,649.9,637.56,153.42,222.89,-738.95,-545.56,-359.42,22.53
-72.42,868.5,211.89,1470.92,-422.98,-222.62,2.41,765.5,361.29,353.52,1166.22,72.69,-199.82,-190.97,297.99,274.12
119.89,163.08,88.24,162.54,-609.93,-750.21,-568.36,-619.86,506.67,480.92,1476.82,251.32,-35.41,-70.27,467.78,395.36
621.74,802.25,530.81,612.62,-1173.2,-1591.09,-1149.33,-1228.72,523.03,476.36,218.6,223.16,-458.39,-348.96,-214.31,7.78
-200.9,223.43,-92.54,406.62,-450.07,-358.07,-297.46,91.46,950.31,942.53,337.69,452.76,-797.15,-551.19,-320.52,151.28
-44.26,1049.01,285.92,1710.98,-447.93,-222.09,26.55,935.29,212.16,180.78,729.29,-48.55,-260.44,-234.69,114.26,114.8
-4.56,70.54,-1.88,134.38,-479.85,-538.05,-415.47,-401.53,718.3,689.06,1905.71,387.04,0.27,-19.31,656.6,596.26
703.54,873.33,612.35,682.62,-1204.04,-1657.07,-1179.9,-1281.29,310.06,247.57,163.88,70.27,-357.81,-293.17,-177.56,-57.4
-156.1,116.41,-103.8,199.02,-492.99,-465.9,-405.55,-148.59,1115.8,1088.44,421.64,553.34,-869.04,-586.6,-317.84,214.04
-15.29,1113.92,321.6,1807.27,-440.69,-198.48,47.21,1034.8,88.51,67.32,357.0,-129.01,-339.03,-303.89,-63.84,-32.45
-88.51,64.1,-48.82,206.8,-387.31,-375.78,-287.26,-176.76,767.92,751.29,2081.66,418.69,-20.12,-31.11,716.69,648.02
719.1,859.92,615.84,664.65,-1186.88,-1642.58,-1180.71,-1266.27,177.56,121.77,219.67,-4.56,-251.32,-232.82,-107.29,-68.13
-67.06,111.04,-62.23,97.36,-580.7,-631.12,-545.56,-396.97,1181.24,1158.18,463.22,627.64,-858.31,-577.21,-304.7,242.2
-26.82,1102.92,287.8,1745.05,-444.44,-215.11,13.68,961.84,96.29,68.4,120.43,-134.65,-427.01,-364.51,-198.22,-104.87
-89.85,171.12,-3.76,399.38,-343.86,-276.0,-189.1,38.09,789.37,771.94,2068.79,404.75,-53.64,-46.94,698.72,645.88
651.24,742.97,551.46,572.92,-1131.09,-1546.03,-1117.14,-1214.77,221.55,151.81,421.38,53.91,-174.34,-180.78,-1.88,-10.46
59.28,186.15,27.09,99.24,-709.44,-843.55,-698.98,-631.39,1160.32,1109.63,452.76,620.39,-817.27,-545.29,-294.24,213.5
-89.59,947.89,207.33,1529.13,-462.41,-247.03,-34.6,832.02,194.46,169.25,12.34,-73.49,-521.42,-423.52,-287.53,-118.29
-136.26,330.72,10.19,674.04,-346.0,-230.94,-111.58,263.12,685.57,679.4,1903.03,324.28,-96.02,-94.41,615.3,575.6
530.27,600.28,454.1,481.46,-996.98,-1347.54,-977.4,-1062.42,205.99,160.66,683.43,28.43,-111.31,-139.47,130.89,81.0
259.1,387.31,207.87,254.01,-860.99,-1094.61,-858.04,-843.29,1032.38,980.08,442.3,541.81,-738.95,-503.99,-276.0,185.34
-128.48,736.0,112.38,1206.46,-441.49,-242.74,-92.27,661.16,409.04,389.46,61.96,69.74,-631.12,-486.02,-334.74,-55.52
-102.73,583.38,108.36,1051.69,-372.02,-210.55,-49.62,522.49,573.99,568.63,1618.45,239.79,-119.89,-122.04,501.04,462.95
341.98,391.87,284.31,325.35,-800.1,-1049.28,-772.21,-852.94,362.37,324.28,1096.22,152.62,-50.69,-87.98,317.84,246.23
462.95,624.69,391.07,455.71,-1013.07,-1343.79,-1002.61,-1035.87,786.69,735.19,345.74,408.5,-567.82,-403.14,-216.99,111.58
-172.73,479.04,6.17,815.66,-418.69,-261.25,-164.96,412.52,705.42,690.13,208.41,285.12,-709.71,-509.62,-313.01,62.23
-52.3,858.04,220.21,1442.76,-389.72,-188.83,19.58,762.28,377.66,362.37,1150.94,82.61,-186.95,-164.15,303.89,284.31
171.12,208.68,133.84,191.51,-624.95,-775.43,-584.72,-636.49,562.19,534.56,1553.0,293.17,-7.24,-32.72,513.37,446.05
650.17,821.56,558.7,622.81,-1127.06,-1526.71,-1104.8,-1167.3,526.52,459.73,228.79,221.55,-447.12,-329.38,-196.34,17.43
-185.61,261.78,-71.08,464.02,-421.91,-321.6,-258.56,144.84,1001.27,974.45,373.1,489.23,-790.18,-534.56,-293.43,182.93
-3.22,1065.64,315.96,1717.42,-386.24,-163.88,81.54,948.97,183.46,161.74,676.18,-57.4,-255.35,-240.86,90.12,91.46
23.07,87.44,16.63,134.65,-493.79,-568.36,-435.59,-436.66,711.59,689.06,1904.64,386.51,11.27,-18.51,651.51,592.77
707.57,875.2,610.47,669.21,-1197.61,-1654.92,-1179.9,-1274.59,303.36,242.2,166.57,77.25,-342.52,-282.97,-168.17,-53.38
-170.86,127.14,-108.63,224.77,-485.75,-447.12,-387.31,-115.6,1145.57,1108.56,437.47,594.38,-855.89,-573.99,-302.82,236.84
-41.04,1119.29,312.21,1820.42,-460.0,-223.43,41.84,1003.95,103.53,74.83,345.47,-127.14,-341.18,-301.75,-71.35,-27.36
-55.79,74.03,-21.46,199.56,-439.08,-452.49,-346.81,-249.45,826.39,806.81,2144.96,447.39,-1.07,-6.44,748.6,702.47
800.37,894.25,697.64,686.11,-1326.35,-1832.49,-1324.47,-1396.36,235.5,161.74,265.81,45.6,-258.56,-228.26,-90.12,-38.09
-85.03,98.97,-69.74,101.39,-576.41,-613.15,-529.2,-365.32,1362.29,1269.76,554.41,787.5,-898.81,-572.65,-271.71,318.91
