Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16
-6706.06,-11548.79,-11805.74,-11997.79,-8836.27,-3730.15,-3814.1,-1149.59,9533.91,-3246.55,-2681.4,9406.24,-2013.27,3939.36,1193.31,-349.22
-38712.33,-23344.61,-25037.08,-24835.92,-10988.47,-1966.06,-5396.6,-4529.98,293.43,1299.26,-2026.14,2772.6,2180.37,-2143.62,7022.29,-3666.31
10569.78,1234.08,-15080.72,-1806.74,7637.05,2932.19,1266.54,5071.79,767.38,-269.83,-11634.62,7281.66,1854.21,-630.05,5047.38,-4336.86
57691.91,12611.21,-6269.13,7899.11,13962.51,3197.46,4019.56,12925.03,10557.98,-4248.35,-6993.59,10110.05,-2989.32,5098.34,-1208.07,2778.23
-608.06,-9935.98,-10298.61,-10617.79,-9820.1,-4815.1,-3761.8,907.39,12291.49,-2470.31,-632.46,10925.44,-1477.09,5492.9,1903.83,1823.37
-40878.48,-25041.64,-25791.86,-26355.39,-14574.05,-3953.04,-6580.0,-6205.29,1206.73,2161.32,426.74,2881.77,2909.12,-1876.21,8855.58,-3279.0
5275.37,-2083.0,-20412.95,-5168.35,6354.42,2749.53,-87.17,3713.79,170.05,141.89,-9634.23,5480.29,2852.53,-1409.5,6641.42,-4270.88
62268.29,14581.56,-8701.09,9305.39,17012.98,4216.97,4275.44,13118.42,10392.76,-5010.9,-10906.94,10867.51,-2956.87,4665.97,-848.11,1583.58
13560.18,-4555.73,-8350.25,-6281.2,-4354.3,-3059.6,-2101.24,3220.26,14445.57,-4179.69,-2824.9,11920.81,-3052.35,6252.77,37.82,2505.45
-41114.78,-22891.85,-21364.33,-24123.52,-13728.08,-3550.71,-5749.85,-5077.42,2551.05,1289.07,311.14,3820.27,1936.02,-717.76,6974.82,-2546.76
